study title,Clinicaltrials.gov,dataverse.org
Randomised Controlled Trial to Investigate the Effect of Parental Presence at Intensive Care Unit to Ward Transfer Bedside Rounds on Parental Anxiety and Children's Safety,https://clinicaltrials.gov/ct2/show/NCT01883739,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10838
A Randomized Controlled Trial of Children Undergoing Intravenous Placement in the Pediatric Emergency Department: Distraction to Reduce Pain and Distress,https://clinicaltrials.gov/ct2/show/NCT02326623,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10841
Nasal Nitric Oxide Levels in Infants With and Without Congenital Heart Disease,https://clinicaltrials.gov/ct2/show/NCT02551107,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10919
Exploring the Accuracy and Acceptability of Portion Size Measurement Aids in Parents of Overweight Children,https://clinicaltrials.gov/ct2/show/NCT01262768,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10888
The Resource Information Program for Parents on Lifestyle and Education (RIPPLE): A Parent-based eHealth Tool to Prevent Childhood Obesity,https://clinicaltrials.gov/ct2/show/NCT02330588,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10889
Long-term Non-invasive Ventilation Therapies in Children: A Scoping Review,NA,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10890
Does Tympanometry Predict Antibiotic Usage in Acute Otitis Media?,https://clinicaltrials.gov/ct2/show/NCT01941381,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10892
The VISION STUDY: Variation In Success of Intravenous (IV) Placement With Observation Using New Techniques,https://clinicaltrials.gov/ct2/show/NCT01133652,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10893
Reduction of Radial Head Subluxation in Children Via a Nurse Initiated Pathway: A Clustered Randomized Control Trial,https://clinicaltrials.gov/ct2/show/NCT00993954,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10895
Impact of Emergency Department Probiotic Treatment of Pediatric Gastroenteritis: Randomized Controlled Trial,https://clinicaltrials.gov/ct2/show/NCT01853124,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10896
Value of Serum Cystatin C in Estimating Renal Function in Children with Non-renal Solid Organ Transplantation,NA,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10897
Evidence-Based Approach to Dietary Management of Prader-Willi Syndrome (PWS),https://clinicaltrials.gov/ct2/show/NCT02011360,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10899
Solar Powered Oxygen Delivery: An Open-label Non-inferiority Comparison to Standard Oxygen Delivery Using Oxygen Cylinders,https://clinicaltrials.gov/ct2/show/NCT02100865,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10900
Effects of Maternal IBD and IBD Breast Milk on Neonatal Gut Microbiome and Intestinal Inflammation,NA,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10901
Elevated Fecal Calprotectin in the Second or Third Trimester of Pregnancy Predicts Preterm Delivery in Women with IBD,NA,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10902
Immunological Profiling,NA,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10903
Improving Knowledge Regarding Pregnancy and Inflammatory Bowel Disease,NA,https://dataverse.library.ualberta.ca/dvn/dv/UAL-WCHRI/faces/study/StudyPage.xhtml?globalId=doi:10.7939/DVN/10904
